date,weight,,,,,
14/11/2022,72.85,,,,,
15/11/2022,72.85,,,,,
16/11/2022,72.4,,,,,
22/11/2022,74.65,,,,,
23/11/2022,74.35,,,,,
24/11/2022,74.1,,,,,
25/11/2022,73.9,,,,,
29/11/2022,75.4,,,,,
30/11/2022,74.75,,,,,
01/12/2022,74.2,,,,,
02/12/2022,74.6,,,,,
03/12/2022,75.3,,,,,
04/12/2022,75.25,,,,,
05/12/2022,74.2,,,,,
06/12/2022,74.2,,,,,
07/12/2022,73.55,,,,,
08/12/2022,74,,,,,
09/12/2022,73.55,,,,,
10/12/2022,74.2,,,,,
11/12/2022,74.9,,,,,
12/12/2022,74.05,,,,,
13/12/2022,74.05,,,,,
14/12/2022,74.05,,,,,
15/12/2022,73.5,,,,,
16/12/2022,73.95,,,,,
17/12/2022,74.7,,,,,
18/12/2022,75.6,,,,,
19/12/2022,75.4,,,,,
20/12/2022,74.85,,,,,
21/12/2022,74.4,,,,,
22/12/2022,75.35,,,,,
25/12/2022,75.75,,,,,
26/12/2022,75.95,,,,,
27/12/2022,74.95,,,,,
28/12/2022,74.15,,,,,
29/12/2022,73.7,,,,,
30/12/2022,74.3,,,,,
31/12/2022,75,,,,,
01/01/2023,74.1,,,,,
02/01/2023,73.45,,,,,
03/01/2023,73.9,,,,,
04/01/2023,74.05,,,,,
05/01/2023,73.95,,,,,
06/01/2023,73.85,,,,,
07/01/2023,73.9,,,,,
08/01/2023,74.3,,,,,
09/01/2023,73.75,,,,,
10/01/2023,73.75,,,,,
11/01/2023,73.65,,,,,
12/01/2023,73.95,,,,,
13/01/2023,73.2,,,,,
14/01/2023,73.4,,,,,
15/01/2023,74.5,,,,,
16/01/2023,73.85,,,,,
17/01/2023,73.35,,,,,
18/01/2023,73.35,,,,,
19/01/2023,72.55,,,,,
20/01/2023,73,,,,,
21/01/2023,72.7,,,,,
22/01/2023,72.7,,,,,
23/01/2023,75,,,,,
24/01/2023,73.85,,,,,
25/01/2023,74,,,,,
26/01/2023,72.8,,,,,
27/01/2023,73.3,,,,,
28/01/2023,74.4,,,,,
29/01/2023,73.05,,,,,
31/01/2023,72.9,,,,,
01/02/2023,73.15,,,,,
02/02/2023,73.15,,,,,
03/02/2023,72.85,,,,,
04/02/2023,73.3,,,,,
05/02/2023,74.9,,,,,
06/02/2023,74,,,,,
07/02/2023,73.55,,,,,
08/02/2023,73.3,,,,,
09/02/2023,73.15,,,,,
10/02/2023,72.85,,,,,
11/02/2023,73.6,,,,,
08/03/2023,75.4,,,,,
09/03/2023,75.55,,,,,
10/03/2023,75.55,,,,,
11/03/2023,75.3,,,,,
12/03/2023,75.8,,,,,
13/03/2023,75.75,,,,,
14/03/2023,75.35,,,,,
15/03/2023,74.55,,,,,
16/03/2023,74.45,,,,,
17/03/2023,75.3,,,,,
18/03/2023,74.8,,,,,
19/03/2023,74.5,,,,,
20/03/2023,75.3,,,,,
21/03/2023,74.65,,,,,
22/03/2023,74.55,,,,,
